,Filename,RelFreqNoun,RelFreqVerb,RelFreqAdj,RelFreqAdv,UniquePER,UniqueLOC,UniqueORG
0,0102.a4.txt,1564.3,1113.24,566.22,345.49,10,0,5
1,0103.a4.txt,991.78,1197.18,416.67,299.3,10,0,4
2,0104.a4.txt,1496.21,1126.89,653.41,378.79,4,0,4
3,0105.a4.txt,1410.55,1158.26,527.52,722.48,6,0,2
4,0106.a4.txt,1393.28,1067.19,711.46,415.02,7,0,5
5,0107.a4.txt,1532.18,1327.89,663.94,429.01,5,0,2
6,0108.a4.txt,1436.46,1316.76,626.15,395.95,8,0,2
7,0109.a4.txt,1672.86,1143.12,650.56,390.33,3,0,3
8,0110.a4.txt,1783.22,1165.5,617.72,338.0,3,0,1
9,0111.a4.txt,1419.42,1237.99,683.03,394.88,4,0,4
10,0112.a4.txt,1440.5,1200.42,542.8,396.66,1,0,3
11,0115.a4.txt,1885.52,852.97,729.52,527.5,3,0,3
12,0119.a4.txt,1548.39,1365.59,473.12,365.59,2,0,4
13,0120.a4.txt,1247.44,1390.59,541.92,337.42,6,0,4
14,0121.a4.txt,1396.93,1090.29,604.77,459.97,9,0,3
15,0122.a4.txt,1653.6,1040.63,612.97,406.27,7,0,5
16,0127.a4.txt,1214.29,1154.76,535.71,654.76,5,0,4
17,0128.a4.txt,1841.56,1100.82,524.69,390.95,3,0,2
18,0130.a4.txt,1638.89,1000.0,481.48,500.0,7,0,3
19,0134.a4.txt,1320.57,1004.78,775.12,354.07,4,0,0
20,0135.a4.txt,1661.13,1029.9,708.75,586.93,8,0,1
21,0136.a4.txt,1348.06,1134.81,632.14,319.88,9,1,3
22,0137.a4.txt,1786.9,998.89,543.84,399.56,5,0,4
23,0139.a4.txt,1391.11,843.79,763.97,307.87,6,0,2
24,0140.a4.txt,1405.23,1056.64,555.56,446.62,7,0,4
25,0149.a4.txt,1394.93,1183.57,688.41,332.13,5,0,5
26,0156.a4.txt,1257.56,1293.83,519.95,459.49,3,0,4
27,0157.a4.txt,1384.78,1078.22,708.25,570.82,7,0,1
28,0158.a4.txt,1379.31,1099.72,680.34,568.5,6,0,1
29,0159.a4.txt,1570.58,1073.56,636.18,467.2,7,0,4
30,0161.a4.txt,1632.05,1097.92,731.95,286.84,4,0,4
31,0165.a4.txt,1862.39,1027.52,412.84,403.67,6,0,2
32,0168.a4.txt,1502.85,1027.27,634.12,475.59,13,0,6
33,0169.a4.txt,1477.4,1278.94,727.67,352.81,3,0,1
34,0171.a4.txt,1418.65,1021.83,615.08,347.22,7,0,3
35,0175.a4.txt,1548.12,1077.41,711.3,407.95,7,0,2
36,0176.a4.txt,1593.78,1000.97,592.81,534.5,10,0,3
37,0177.a4.txt,1085.07,1423.61,746.53,520.83,5,0,4
38,0178.a4.txt,1747.9,1067.23,714.29,445.38,4,0,3
39,0179.a4.txt,1760.0,1050.0,920.0,220.0,10,0,2
40,0185.a4.txt,1632.02,1143.45,706.86,343.04,8,0,1
41,0186.a4.txt,1530.94,1248.64,542.89,347.45,2,0,5
42,0187.a4.txt,1380.85,1336.3,534.52,334.08,4,0,6
43,0188.a4.txt,1683.82,1019.64,617.4,467.73,6,0,2
44,0190.a4.txt,1338.91,1056.49,481.17,345.19,3,1,5
45,0192.a4.txt,1764.08,1200.85,446.33,361.32,2,0,2
46,0193.a4.txt,1469.16,1046.43,457.38,256.41,6,0,5
47,0194.a4.txt,1666.67,1208.33,583.33,406.25,7,0,2
48,0195.a4.txt,1606.27,1136.14,362.39,323.21,5,0,4
49,0196.a4.txt,1241.22,1209.99,585.48,421.55,5,0,2
50,0197.a4.txt,1407.56,1207.98,483.19,409.66,5,0,4
51,0198.a4.txt,1123.05,1142.58,429.69,361.33,4,0,5
52,0199.a4.txt,1631.05,967.38,742.41,416.2,8,0,3
53,0200.a4.txt,1484.21,1315.79,557.89,652.63,4,0,1
54,0202.a4.txt,1389.2,1477.4,374.86,198.46,1,0,2
55,0204.a4.txt,1468.86,1092.83,540.54,376.03,7,0,1
56,0205.a4.txt,1410.05,1069.69,534.85,470.02,11,0,2
